Table,Variable,Description,Calculation,Unit
leaf_traits.csv,sheath_Lmax,Final sheath length,,m
leaf_traits.csv,SLA,Specific Leaf Area - Avg from ligulation to onset of senescence,,m2 kg-1
leaf_traits.csv,SLN,Specific Leaf Nitrogen - Avg from ligulation to onset of senescence,,g m-2
leaf_traits.csv,SSLW,Specific Structural Lamina Weight,,g mstruct m-2
leaf_traits.csv,sumTT_em,Time of leaf tip emergence - sum of thermal time since the beginning of the simulation,,°Cd
leaf_traits.csv,sumTT_em_prev,Time of previous leaf emergence - sum of thermal time since the beginning of the simulation,,°Cd
leaf_traits.csv,sumTT_init,Time of leaf initialisation - sum of thermal time since the beginning of the simulation,,°Cd
leaf_traits.csv,sumTT_lig,Time of leaf ligulation - sum of thermal time since the beginning of the simulation,,°Cd
leaf_traits.csv,sumTT_senesc_end,Time of full lamina senescence - sum of thermal time since the beginning of the simulation,,°Cd
leaf_traits.csv,sumTT_senesc_onset,Time of onset of lamina senescence - sum of thermal time since the beginning of the simulation,,°Cd
leaf_traits.csv,t_em,Time of leaf tip emergence - hour since the beginning of the simulation,,h
leaf_traits.csv,t_lig,Time of leaf ligulation - hour since the beginning of the simulation,,h
leaf_traits.csv,t_senesc_end,Time of full lamina senescence - hours since the beginning of the simulation,,h
leaf_traits.csv,t_senesc_onset,Time of onset of lamina senescence - hours since the beginning of the simulation,,h
organs_postprocessing.csv,AA_consumption_mstruct,Amino acids consumed in the roots for root structural growth,,µmol N
organs_postprocessing.csv,age_from_flowering,"Age since flowering, equivalent to time at 20°C",,s-1
organs_postprocessing.csv,amino_acids,Quantity of amino acids - Compartment of the model,,µmol N
organs_postprocessing.csv,C_exudation,Rates of C exudation,,µmol C g-1 mstruct h-1
organs_postprocessing.csv,Conc_Amino_Acids,Concentration of Amino Acids,,µmol g-1 mstruct
organs_postprocessing.csv,Conc_cytokinins,Concentration of cytokinins,,AU g mstruct -1
organs_postprocessing.csv,Conc_Nitrates,Concentration of nitrates,,µmol g-1 mstruct
organs_postprocessing.csv,Conc_Sucrose,Concentration of sucrose,,µmol g-1 mstruct
organs_postprocessing.csv,cytokinins,Quantity of cytokinins - Compartment of the model,,AU
organs_postprocessing.csv,Dry_Mass,Grain total dry mass,,g
organs_postprocessing.csv,Export_Amino_Acids,Amino acids exported from the roots through the transpiration flux,,µmol N h-1
organs_postprocessing.csv,Export_cytokinins,Cytokinis exported from the roots through the transpiration flux,,AU h-1
organs_postprocessing.csv,Export_Nitrates,Nitrates exported from the roots through the transpiration flux,,µmol N h-1
organs_postprocessing.csv,HATS_LATS,nitrate influxe rate by HATS and LATS,,µmol N h-1
organs_postprocessing.csv,mstruct,Structural mass - Compartment of the model,,g
organs_postprocessing.csv,N_exudation,Rates of N exudation,,µmol N g-1 mstruct h-1
organs_postprocessing.csv,N_tot,N mass,,g
organs_postprocessing.csv,nitrates,Quantity of nitrates - Compartment of the model,,µmol N
organs_postprocessing.csv,Nstruct,Mass of non-structural nitrogen - Compartment of the model,,g
organs_postprocessing.csv,proteins,Quantity of proteins - Compartment of the model,,µmol N
organs_postprocessing.csv,Proteins_N_Mass,Grain total protein mass,,g
organs_postprocessing.csv,R_grain_growth_starch,Respiration related to grain starch loading,,µmol C
organs_postprocessing.csv,R_grain_growth_struct,Respiration related to grain structural growth,,µmol C
organs_postprocessing.csv,R_Nnit_red,Nitrate reduction-linked respiration,,µmol C
organs_postprocessing.csv,R_Nnit_upt,Nitrate uptake respiration,,µmol C
organs_postprocessing.csv,R_residual,"Residual respiration (cost from protein turn-over, cell ion gradients, futile cycles...)",,µmol C
organs_postprocessing.csv,regul_transpiration,A function to regulate metabolite exports from roots by shoot transpiration,,Dimensionless
organs_postprocessing.csv,Respi_growth,Local growth respiration,,µmol C
organs_postprocessing.csv,RGR_Structure,Relative Growth Rate of grain structure at 20°C,,s-1
organs_postprocessing.csv,S_Amino_Acids,Rate of amino acids synthesis,,µmol N g-1 mstruct h-1
organs_postprocessing.csv,S_cytokinins,Rate of Cytokinin synthesis,,AU g-1 mstruct h-1
organs_postprocessing.csv,S_grain_starch,Rate of Synthesis of grain starch ,,µmol C h-1
organs_postprocessing.csv,S_grain_structure,Rate of Synthesis of grain structure,,µmol C h-1
organs_postprocessing.csv,S_Proteins,Rate of protein synthesis,,µmol N g-1 mstruct h-1
organs_postprocessing.csv,senesced_mstruct,Structural mass of the senesced tissues of the organ,,g
organs_postprocessing.csv,starch,Quantity of starch - Compartment of the model,,µmol C
organs_postprocessing.csv,structure,Quantity of grain structure - Compartment of the model,,µmol C
organs_postprocessing.csv,sucrose,Quantity of sucrose - Compartment of the model,,µmol C
organs_postprocessing.csv,sucrose_consumption_mstruct,Sucrose consumed in the roots for root structural growth,,µmol C
organs_postprocessing.csv,sum_respi,Sum of C lost by respiration other than growth respiration,R_phloem_loading + R_Nnit_red + R_residual,µmol C
organs_postprocessing.csv,Total_Organic_Nitrogen,Total amount of organic N,amino acids + proteins + Nstruct,µmol N
organs_postprocessing.csv,Unloading_Amino_Acids,Unloading of amino_acids from phloem to roots,,µmol N g-1 root mstruct
organs_postprocessing.csv,Unloading_Sucrose,Unloading of sucrose from phloem to roots,,µmol C g-1 root mstruct
organs_postprocessing.csv,Uptake_Nitrates,Quantity of Nitrate uptake by the roots,,µmol N
organs_postprocessing.csv,WSC_g,Mass of Non-structural carbohydrates,,g
performance_indices.csv,avg_LAR,Average leaf area ratio,green area of the laminae : plant dry mass,m2 g-1
performance_indices.csv,avg_LMR,Average leaf mass ratio,dry mass of the laminae : plant dry mass,Dimensionless
performance_indices.csv,avg_NAR_TT,Average Net Assimilation Rate,Increment of plant dry mass per lamina area per TT,g m-2 °Cd-1
performance_indices.csv,avg_phyllochron,Average phyllochron,1/slope of the linear regression between the number of emerged leaves and temperature-compensated time,°Cd
performance_indices.csv,avg_RGR_roots_TT,Average Relative Growth Rate of the roots,delta dry mass : dry mass,°Cd-1
performance_indices.csv,avg_RGR_shoot_TT,Average Relative Growth Rate of the shoot,delta dry mass : dry mass,°Cd-1
performance_indices.csv,avg_RGR_TT,Average Relative Growth Rate of the plant,delta dry mass : dry mass,°Cd-1
performance_indices.csv,avg_SLA,Average Specific Leaf Area - Mean over the simulation,Mean of hourly ratio of green area of the laminae : lamina dry mass,m2 kg-1
performance_indices.csv,C_usages_exudation,C lost by respiration of the root exudation - cumulated since the beging of the simulation.,,µmol C
performance_indices.csv,C_usages_Respi,C lost by respiration of the shoots + roots - cumulated since the beging of the simulation.,,µmol C
performance_indices.csv,C_usages_Respi_roots,C lost by respiration of the roots - cumulated since the beging of the simulation.,,µmol C
performance_indices.csv,C_usages_Respi_shoot,C lost by respiration of the shoots - cumulated since the beging of the simulation.,,µmol C
performance_indices.csv,final_avg_SLA,Average Specific Leaf Area - at the end of the simulation,green area of the laminae : lamina dry mass,m2 kg-1
performance_indices.csv,final_LAR,leaf area ratio - at the end of the simulation,green area of the laminae : plant dry mass,m2 g-1
performance_indices.csv,final_LMR,leaf mass ratio - at the end of the simulation,dry mass of the laminae : plant dry mass,Dimensionless
performance_indices.csv,LAI,Leaf Area Index - at the end of the simulation,,Dimensionless
performance_indices.csv,LAI_senesced,Leaf Area Index including the area of the senescence tissues - at the end of the simulation,,Dimensionless
performance_indices.csv,nb_final_em,Number of emerged leaf - at the end of the simulation,considered both senesced and green leaves,Dimensionless
performance_indices.csv,nb_final_lig,Number of ligulated leaf - at the end of the simulation,considered both senesced and green leaves,Dimensionless
performance_indices.csv,Photosynthetic_efficiency,Average photosynthetic efficiency (ratio of assimilated C  to absorbed PAR) ,cumulative C_assimilated:cumulative PARa,µmol C MJ-1
performance_indices.csv,RUE_plant_MJ_PAR,Radiation Use Efficiency of the plant,slope of the linear regression between the biomass of the plant across time and the cumulative absorbed PAR,g MJ-1
performance_indices.csv,RUE_plant_MJ_RGint,Radiation Use Efficiency of the plant,slope of the linear regression between the biomass of the plant across time and the cumulative absorbed global radiation,g MJ-1
performance_indices.csv,RUE_plant_total_MJ_PAR, Radiation Use Efficiency of the plant including the structural mass of the senesced tissues,slope of the linear regression between the biomass of the plant across time (dry mass and structural mass of the senesced tissues) and the cumulative absorbed PAR,g MJ-1
performance_indices.csv,RUE_shoot_MJ_PAR,Radiation Use Efficiency of the shoot,slope of the linear regression between the biomass of the shoot across time and the cumulative absorbed PAR,g MJ-1
performance_indices.csv,RUE_shoot_MJ_RGint,Radiation Use Efficiency of the shoot,slope of the linear regression between the biomass of the shoot across time and the cumulative absorbed global radiation,g MJ-1
performance_indices.csv,RUE_shoot_total_MJ_PAR,Radiation Use Efficiency of the shoot including the structural mass of the senesced tissues,slope of the linear regression between the biomass of the shoot across time (dry mass and structural mass of the senesced tissues) and the cumulative absorbed PAR,g MJ-1
performance_indices.csv,t_final,Time of end of simulation (control variable if plant death),,h
performance_indices.csv,tot_PARa_MJ,Total PAR absorbed during the simulation,,MJ
soils_postprocessing.csv,Conc_Nitrates_Soil,Concentration of nitrates in the soil,,µmol m-3
soils_postprocessing.csv,mineralisation,Rate of Mineralisation of organic N into nitrates in the soil,,µmol h-1
soils_postprocessing.csv,nitrates,Quantity of nitrates - Compartment of the model,,µmol N
soils_postprocessing.csv,Tsoil,Soil temperature,,°C
soils_postprocessing.csv,volume,Soil volume explored by the roots,,m-3
